排名,学校名称,总分
245,长春工业大学,172.3
246,厦门理工学院,172.2
247,东莞理工学院,172
248,延安大学,171.8
249,大连交通大学,171.7
249,华北水利水电大学,171.7
251,山东建筑大学,171.2
252,赣南师范大学,171
253,西安工程大学,170.6
254,河北科技大学,170.4
254,沈阳理工大学,170.4
256,青海师范大学,169.7
257,武汉轻工大学,169.3
258,桂林理工大学,169.2
258,郑州轻工业大学,169.2
260,成都信息工程大学,169
261,内蒙古工业大学,168.9
262,西华大学,168
263,辽宁石油化工大学,167.5
264,绍兴文理学院,167.2
265,江汉大学,167.1
266,沈阳大学,166.8
267,山西师范大学,166.3
268,聊城大学,164.8
269,华北理工大学,164.5
270,太原科技大学,164.2
271,辽宁工程技术大学,164.1
271,西华师范大学,164.1
273,南京工程学院,164
274,安徽工程大学,162.6
275,福建理工大学,162.5
276,上海海关学院,162.4
277,沈阳师范大学,162
278,台州学院,161
279,重庆科技大学,159.7
279,辽宁工业大学,159.7
281,北京农学院,159.4
281,北京印刷学院,159.4
283,安徽建筑大学,158.8
283,深圳技术大学,158.8
285,渤海大学,158.4
285,大理大学,158.4
287,大连大学,158.2
287,苏州工学院,158.2
287,浙大宁波理工学院,158.2
290,云南农业大学,156
291,河北工程大学,155.8
292,宁波工程学院,155.6
293,湖南工业大学,154.8
294,吉林建筑大学,154.4
295,南宁师范大学,153.9
296,大连海洋大学,153.6
297,闽江学院,153.1
298,广东海洋大学,153
299,临沂大学,152.8
300,北京石油化工学院,152.7
301,黑龙江八一农垦大学,152.5
302,新疆师范大学,152.4
303,西南林业大学,152.3
304,辽宁科技大学,152
305,新疆农业大学,151.7
306,北京联合大学,151.6
307,重庆文理学院,151.4
308,北华大学,150.7
309,闽南师范大学,150.1
310,湖南理工学院,149.8
311,五邑大学,149.2
312,湖北师范大学,149.1
312,浙江万里学院,149.1
314,广东技术师范大学,149
314,内蒙古科技大学,149
316,合肥大学,147.9
317,淮阴工学院,147.5
318,天津城建大学,147.2
319,无锡学院,147.1
320,中原工学院,146.9
321,景德镇陶瓷大学,146.7
322,吉林师范大学,146.4
323,吉首大学,146.3
324,江西科技师范大学,145.7
325,江苏海洋大学,145.6
326,四川轻化工大学,145.3
327,上海第二工业大学,145.2
328,长沙学院,145
329,广西科技大学,144.7
330,淮北师范大学,144.6
331,淮阴师范学院,144.3
332,上海电机学院,144
333,南京晓庄学院,143.6
334,盐城工学院,143.5
335,贵州师范学院,143
336,常州工学院,142
337,长春师范大学,141.5
337,信阳师范大学,141.5
339,榆林学院,141.4
340,安庆师范大学,141.2
341,湖北汽车工业学院,141
342,陕西理工大学,140.7
343,塔里木大学,140.5
343,天津职业技术师范大学,140.5
345,长江师范学院,140.3
346,湖南第一师范学院,140
347,江苏理工学院,139.9
348,江西水利电力大学,139.7
349,长春工程学院,139.6
350,盐城师范学院,139.4
351,井冈山大学,138.9
351,金陵科技学院,138.9
353,天津农学院,138.8
353,仲恺农业工程学院,138.8
355,铜仁学院,138.4
356,山东交通学院,137.8
357,黄冈师范学院,137.7
357,泉州师范学院,137.7
359,河南科技学院,137.2
360,温州理工学院,136.9
361,安徽科技学院,136.5
361,洛阳师范学院,136.5
363,徐州工程学院,136.3
364,湖北第二师范学院,136
365,丽水学院,135.1
365,中国民用航空飞行学院,135.1
367,惠州学院,134.5
368,长春大学,134.3
369,贵阳学院,134
370,湖州学院,133.8
371,沈阳工程学院,133
372,湖北科技学院,132.8
372,湖北文理学院,132.8
372,黔南民族师范学院,132.8
375,防灾科技学院,132.7
376,广东石油化工学院,132.6
377,洛阳理工学院,132.3
378,遵义师范学院,132.1
379,衢州学院,132
380,重庆三峡学院,131.9
381,齐齐哈尔大学,131.6
381,三明学院,131.6
383,太原师范学院,131.4
384,阜阳师范大学,131.1
385,北华航天工业学院,131
386,绵阳师范学院,130.6
387,佳木斯大学,130.4
388,成都师范学院,130.2
389,昆明学院,129.8
389,周口师范学院,129.8
391,岭南师范学院,129.7
391,莆田学院,129.7
393,德州学院,129.5
394,黑龙江科技大学,129.4
394,攀枝花学院,129.4
394,山东航空学院,129.4
394,浙江水利水电学院,129.4
398,龙岩学院,129.2
398,西藏农牧大学,129.2
400,曲靖师范学院,128.5
401,华北科技学院,128.4
402,泰山学院,128.2
403,潍坊学院,128.1
404,河北科技师范学院,127.7
405,湘南学院,127.6
406,衡阳师范学院,127.3
406,湖南工程学院,127.3
408,内江师范学院,127.1
409,许昌学院,126.9
409,宜宾学院,126.9
411,贵州理工学院,126.8
412,吉林化工大学,126.7
413,宁夏师范大学,126.4
414,合肥师范学院,126.1
414,湖北理工学院,126.1
414,江苏第二师范学院,126.1
417,皖西学院,125.8
418,安阳师范学院,125.4
419,湖北工程学院,125.3
419,南阳师范学院,125.3
419,苏州城市学院,125.3
422,北部湾大学,125.1
422,西安文理学院,125.1
424,广东第二师范学院,124.6
425,韶关学院,124.5
426,乐山师范学院,124.2
426,武夷学院,124.2
428,六盘水师范学院,124
429,商丘师范学院,123.7
429,石家庄学院,123.7
431,宜春学院,123.3
432,枣庄学院,122.9
433,重庆第二师范学院,122.8
434,黄淮学院,122.7
435,滁州学院,122.6
436,怀化学院,122.4
436,玉林师范学院,122.4
438,邵阳学院,122.3
438,唐山师范学院,122.3
440,南昌师范学院,122.2
440,肇庆学院,122.2
442,广州航海学院,122
442,平顶山学院,122
444,河南工程学院,121.7
444,西安航空学院,121.7
446,成都工业学院,121.5
446,天水师范大学,121.5
448,河西学院,121.3
448,南京特殊教育师范学院,121.3
450,宝鸡文理学院,121.2
450,南阳理工学院,121.2
450,宁德师范学院,121.2
450,西昌学院,121.2
454,河南城建学院,120.9
455,黑龙江工程学院,120.6
455,湖南文理学院,120.6
457,上饶师范学院,120.5
458,内蒙古科技大学包头师范学院,120.4
459,通化师范学院,120.3
460,济宁学院,120.2
460,渭南师范学院,120.2
462,湖南科技学院,120.1
463,海南热带海洋学院,119.9
463,湖南城市学院,119.9
465,齐鲁师范学院,119.8
466,廊坊师范学院,119.4
467,玉溪师范学院,119.1
468,牡丹江师范学院,119
469,哈尔滨学院,118.8
470,山西大同大学,118.7
471,湖南工学院,118.6
472,韩山师范学院,118.3
473,九江学院,118.2
474,太原工业学院,118
475,宿迁学院,117.8
476,陇东学院,117.6
477,福建技术师范学院,117.4
478,鞍山师范学院,117.3
479,巢湖学院,117.2
480,山东青年政治学院,117.1
481,黄山学院,117
482,吉林工程技术师范学院,116.8
483,河北民族师范学院,116.4
483,四川旅游学院,116.4
485,山东女子学院,116.3
486,山东管理学院,116
486,咸阳师范学院,116
488,吉林农业科技学院,115.9
489,兰州城市学院,115.6
490,湖南人文科技学院,115.5
490,宿州学院,115.5
492,安阳工学院,115.3
493,凯里学院,115.1
494,安顺学院,114.9
494,长治学院,114.9
496,淮南师范学院,114.1
497,贺州学院,114
498,新乡学院,113.9
499,嘉应学院,113.7
500,伊犁师范大学,113.3
